Rank,URL,Clicks,Impressions,CTR%,Position,Expected_CTR%,CTR_Gap%,Potential_Additional_Clicks,Priority_Score
165,https://jo-katsu.com/campus/25811/,16,3326,0.48,6.1,4.0,+3.52,117,117
166,https://jo-katsu.com/campus/5395/,9,3117,0.29,5.8,4.0,+3.71,115,116
167,https://jo-katsu.com/campus/22104/,7,3051,0.23,6.1,4.0,+3.77,115,115
168,https://jo-katsu.com/campus/10092/,14,1841,0.76,4.3,7.0,+6.24,114,115
169,https://jo-katsu.com/campus/4964/,12,2526,0.48,4.9,5.0,+4.52,114,114
170,https://jo-katsu.com/campus/5665/,72,4615,1.56,5.9,4.0,+2.44,112,113
171,https://jo-katsu.com/campus/18569/,19,3258,0.58,5.6,4.0,+3.42,111,111
172,https://jo-katsu.com/campus/6779/,20,3273,0.61,5.7,4.0,+3.39,110,111
173,https://jo-katsu.com/campus/22017/,34,1447,2.35,3.0,10.0,+7.65,110,111
174,https://jo-katsu.com/campus/24109/,83,3864,2.15,5.3,5.0,+2.85,110,110
175,https://jo-katsu.com/campus/10671/,3,3720,0.08,6.9,3.0,+2.92,108,109
176,https://jo-katsu.com/campus/6757/,120,4565,2.63,5.1,5.0,+2.37,108,108
177,https://jo-katsu.com/campus/4575/,9,1166,0.77,3.2,10.0,+9.23,107,108
178,https://jo-katsu.com/campus/6239/,6,2826,0.21,6.5,4.0,+3.79,107,107
179,https://jo-katsu.com/campus/5198/,5,2226,0.22,5.2,5.0,+4.78,106,106
180,https://jo-katsu.com/campus/24936/,17,2445,0.70,5.3,5.0,+4.30,105,105
181,https://jo-katsu.com/campus/6846/,118,4459,2.65,4.6,5.0,+2.35,104,105
182,https://jo-katsu.com/campus/34802/,15,1161,1.29,3.2,10.0,+8.71,101,101
183,https://jo-katsu.com/campus/35174/,9,2201,0.41,5.2,5.0,+4.59,101,101
184,https://jo-katsu.com/campus/6131/,19,2395,0.79,5.2,5.0,+4.21,100,101
185,https://jo-katsu.com/campus/6819/,22,3068,0.72,6.2,4.0,+3.28,100,101
186,https://jo-katsu.com/campus/16545/,139,4755,2.92,4.7,5.0,+2.08,98,99
187,https://jo-katsu.com/campus/5832/,33,2612,1.26,4.8,5.0,+3.74,97,98
188,https://jo-katsu.com/campus/23548/,37,1917,1.93,3.9,7.0,+5.07,97,97
189,https://jo-katsu.com/campus/6079/,17,2280,0.75,4.9,5.0,+4.25,97,97
190,https://jo-katsu.com/campus/25568/,18,3829,0.47,7.3,3.0,+2.53,96,97
191,https://jo-katsu.com/campus/35062,47,1437,3.27,3.2,10.0,+6.73,96,97
192,https://jo-katsu.com/campus/5232/,9,2625,0.34,6.4,4.0,+3.66,96,96
193,https://jo-katsu.com/campus/26266/,24,3002,0.80,6.4,4.0,+3.20,96,96
194,https://jo-katsu.com/campus/6077/,22,2928,0.75,5.7,4.0,+3.25,95,95
195,https://jo-katsu.com/campus/22988/,90,6174,1.46,7.0,3.0,+1.54,95,95
196,https://jo-katsu.com/campus/2049/,5,2487,0.20,5.9,4.0,+3.80,94,95
197,https://jo-katsu.com/campus/4882/,67,4032,1.66,6.1,4.0,+2.34,94,94
198,https://jo-katsu.com/campus/23649/,19,2261,0.84,4.6,5.0,+4.16,94,94
199,https://jo-katsu.com/campus/22910/,42,3398,1.24,6.3,4.0,+2.76,93,94
200,https://jo-katsu.com/campus/24072/,52,2079,2.50,3.9,7.0,+4.50,93,94
201,https://jo-katsu.com/campus/18450/,3,1931,0.16,4.7,5.0,+4.84,93,93
